area;ciudad;conglomerado;vivienda;hogar;persona;s1p2;s1p3;s1p3b;s1p4;s1p5a;s1p5b;s1p6;s1p7;s1p8;s1p9;s1p10;s1p11;s1p12a;s1p12b;s1p13;s1p14a;s1p14c;s2p1;s2p2a;s2p2b;s2p3;s2p41;s2p42;s2p43;s2p44;s2p45;s2p5;s2p6;s2p7a;s2p7b;s2p8;s2p9;s2p10a;s2p10b;s6p1a;s6p1b;s6p2;s6p3;s6p4;s6p4a;s6p4b;s6p4c;s6p4d;s7p1a;s7p1b;s7p1a1;s7p1b1;s7p1b2;s7p1b3;s7p1b4;s7p1b5;s7p1b6;s7p2;s7p211;s7p212;s7p213;s7p214;s7p3;s7p4;s7p5;s7p6;s7p71;s7p72;s7p73;s7p74;s7p75;s7p76;s7p77;s7p78;s7p79;upm;estrato;fexp;id_hogar;id_per
1;010150;006902;02;1;05;1;5;2;3;10;10; ;3;3;6;1; ;5;0;2; ; ;1;4;1;1;1;1;1;2;2;1;1;2; ;1;2;1;1; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;525,324005901201;010150006902021;01015000690202105
1;010150;006902;03;1;01;1;50;2;1;10;10;1;3;3;6;2;2;6;6; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;3;0;0;0;1;1;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;457,730625821464;010150006902031;01015000690203101
1;010150;006902;03;1;02;2;46;1;2;1;10;1;3;3;6;2;3;6;6; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;2;1;2;10;13;13;1;1;3;2; ; ; ; ; ; ; ; ; ;010150006902;2711;451,014642079166;010150006902031;01015000690203102
1;010150;006902;03;1;03;1;21;2;3;10;10;6;3;3;6;1; ;7;3; ; ; ;1;8;1; ; ; ; ; ; ;1;1;2; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;5;13;13;1;1;4;1;1;1;1;1;1;1;1;1;2;010150006902;2711;457,730625821464;010150006902031;01015000690203103
1;010150;006902;03;1;04;2;19;2;3;10;10;6;3;3;6;1; ;7;2; ; ; ;1;6;3;1;1;2;2;1;1;1;2;2; ; ; ; ; ;2; ;3;2;2; ; ; ; ;1;1;1;1;1;1;1;1;1;1;2;5;13;13;1;1;4;1;1;1;1;1;2;1;1;1;2;010150006902;2711;451,014642079166;010150006902031;01015000690203104
1;010150;006902;04;1;01;1;32;1;1;2;10;1;3;3;6;2;3;9;1; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;2;0;0;0;1;1;1;1;1;1;1;1;2;1;2;10;13;13;2;1;2;1;2;1;2;1;2;2;2;2;2;010150006902;2711;457,730625821464;010150006902041;01015000690204101
1;010150;006902;04;1;02;2;29;2;2;10;10;1;3;3;6;2;3;9;1; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;1;0;0;0;2; ; ; ; ; ; ; ; ;1;1;2;5;13;1;1;1;1;2;2;1;2;2;2;2;2;2;010150006902;2711;451,014642079166;010150006902041;01015000690204102
1;010150;006902;04;1;03;2;6;2;3;2;10; ;3;3;6;1; ;5;0;2; ; ;1;4;1;1;1;1;1;2;2;1;1;1;15;1;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ;010150006902;2711;579,575269233637;010150006902041;01015000690204103
1;010150;006902;04;1;04;1;4;2;3;2;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;010150006902;2711;525,324005901201;010150006902041;01015000690204104
1;010150;006902;05;1;01;1;41;1;1;10;10;1;3;3;6;2;5;4;6;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;5;7;1;6;0;0;0;1;1;1;1;1;1;1;1;1;1;2;7;10;13;1;1;2;1;1;1;1;1;2;2;2;1;2;010150006902;2711;457,730625821464;010150006902051;01015000690205101
1;010150;006902;05;1;02;2;40;2;2;1;10;1;3;3;6;2;9;4;6;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;3;2;1;6;0;0;0;1;1;1;1;1;2;2;2;2;1;2;7;13;13;1;1;2;2; ; ; ; ; ; ; ; ; ;010150006902;2711;451,014642079166;010150006902051;01015000690205102
1;010150;006902;05;1;03;2;19;2;3;10;10;6;3;3;6;1; ;7;3; ; ; ;1;8;1; ; ; ; ; ; ;1;3;2; ; ; ; ; ;2; ;2;1;1;6;0;0;0;1;1;1;1;1;1;1;1;1;1;5;7;9;13;1;1;4;1;1;1;1;1;1;1;1;1;2;010150006902;2711;451,014642079166;010150006902051;01015000690205103
1;010150;006902;05;1;04;2;17;2;3;1;10;6;3;3;6;1; ;7;2; ; ; ;1;6;3;1;1;1;1;1;1;3;3;2; ; ; ; ; ;2; ;3;2;1;2;0;0;0;1;1;1;1;1;1;1;1;2;1;2;5;13;13;1;1;4;1;1;1;1;1;1;1;1;1;2;010150006902;2711;451,014642079166;010150006902051;01015000690205104
1;010150;006902;05;1;05;2;10;2;3;1;10; ;3;3;6;1; ;5;5;1; ; ;1;4;6;1;1;1;1;1;1;3;3;2; ;1;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ;1;5;7;13;13;1;1;2;1; ; ; ; ; ; ; ; ; ;010150006902;2711;579,575269233637;010150006902051;01015000690205105
